"IM Race-Ethnicity no Unknown","Age at death 18_Age Categories for NordPred","IM Subsite","IM Histology with All","IM 5-year LATEST","Crude Rate","Count","Population"
0,6,0,0,1,0.19,39,20317672
0,6,0,0,2,0.17,36,21515576
0,6,0,0,3,0.17,38,22376615
0,6,0,1,0,0.22,51,23456006
0,6,0,1,1,0.18,37,20317672
0,6,0,1,2,0.16,34,21515576
0,6,0,1,3,0.15,34,22376615
0,6,0,2,0,^,^,23456006
0,6,0,2,1,^,^,20317672
0,6,0,2,2,^,^,21515576
0,6,0,2,3,^,^,22376615
0,6,1,0,0,0.08,18,23456006
0,6,1,0,1,0.05,10,20317672
0,6,1,0,2,0.06,13,21515576
0,6,1,0,3,0.05,11,22376615
0,6,1,1,0,0.08,18,23456006
0,6,1,1,1,^,^,20317672
0,6,1,1,2,0.06,12,21515576
0,6,1,1,3,0.04,10,22376615
0,6,1,2,0,^,^,23456006
0,6,1,2,1,^,^,20317672
0,6,1,2,2,^,^,21515576
0,6,1,2,3,^,^,22376615
0,6,2,0,0,0.08,18,23456006
0,6,2,0,1,0.07,15,20317672
0,6,2,0,2,^,^,21515576
0,6,2,0,3,0.06,13,22376615
0,6,2,1,0,0.07,16,23456006
0,6,2,1,1,0.07,15,20317672
0,6,2,1,2,^,^,21515576
0,6,2,1,3,0.06,13,22376615
0,6,2,2,0,^,^,23456006
0,6,2,2,1,^,^,20317672
0,6,2,2,2,^,^,21515576
0,6,2,2,3,^,^,22376615
0,6,3,0,0,0.08,18,23456006
0,6,3,0,1,0.07,14,20317672
0,6,3,0,2,0.07,14,21515576
0,6,3,0,3,0.06,14,22376615
0,6,3,1,0,0.07,17,23456006
0,6,3,1,1,0.06,13,20317672
0,6,3,1,2,0.06,13,21515576
0,6,3,1,3,0.05,11,22376615
0,6,3,2,0,^,^,23456006
0,6,3,2,1,^,^,20317672
0,6,3,2,2,^,^,21515576
0,6,3,2,3,^,^,22376615
0,7,0,0,0,0.34,89,26211346
0,7,0,0,1,0.46,107,23070332
0,7,0,0,2,0.36,74,20288820
0,7,0,0,3,0.42,90,21336229
0,7,0,1,0,0.31,81,26211346
0,7,0,1,1,0.42,96,23070332
0,7,0,1,2,0.34,69,20288820
0,7,0,1,3,0.39,84,21336229
0,7,0,2,0,^,^,26211346
0,7,0,2,1,^,^,23070332
0,7,0,2,2,^,^,20288820
0,7,0,2,3,^,^,21336229
0,7,1,0,0,0.11,28,26211346
0,7,1,0,1,0.14,33,23070332
0,7,1,0,2,0.09,19,20288820
0,7,1,0,3,0.12,25,21336229
0,7,1,1,0,0.10,25,26211346
0,7,1,1,1,0.13,30,23070332
0,7,1,1,2,0.09,19,20288820
0,7,1,1,3,0.12,25,21336229
0,7,1,2,0,^,^,26211346
0,7,1,2,1,^,^,23070332
0,7,1,2,2,^,^,20288820
0,7,1,2,3,^,^,21336229
0,7,2,0,0,0.10,27,26211346
0,7,2,0,1,0.17,39,23070332
0,7,2,0,2,0.16,32,20288820
0,7,2,0,3,0.14,30,21336229
0,7,2,1,0,0.10,26,26211346
0,7,2,1,1,0.16,36,23070332
0,7,2,1,2,0.15,30,20288820
0,7,2,1,3,0.13,28,21336229
0,7,2,2,0,^,^,26211346
0,7,2,2,1,^,^,23070332
0,7,2,2,2,^,^,20288820
0,7,2,2,3,^,^,21336229
0,7,3,0,0,0.13,34,26211346
0,7,3,0,1,0.15,35,23070332
0,7,3,0,2,0.11,23,20288820
0,7,3,0,3,0.16,35,21336229
0,7,3,1,0,0.11,30,26211346
0,7,3,1,1,0.13,30,23070332
0,7,3,1,2,0.10,20,20288820
0,7,3,1,3,0.15,31,21336229
0,7,3,2,0,^,^,26211346
0,7,3,2,1,^,^,23070332
0,7,3,2,2,^,^,20288820
0,7,3,2,3,^,^,21336229
0,8,0,0,0,0.10,175,177867047
0,8,0,0,1,0.10,173,168886224
0,8,0,0,2,0.09,141,164370313
0,8,0,0,3,0.10,162,162491035
0,8,0,1,0,0.09,161,177867047
0,8,0,1,1,0.09,160,168886224
0,8,0,1,2,0.08,131,164370313
0,8,0,1,3,0.09,150,162491035
0,8,0,2,0,^,^,177867047
0,8,0,2,1,^,^,168886224
0,8,0,2,2,^,^,164370313
0,8,0,2,3,^,^,162491035
0,8,1,0,0,0.03,51,177867047
0,8,1,0,1,0.03,51,168886224
0,8,1,0,2,0.03,43,164370313
0,8,1,0,3,0.03,48,162491035
0,8,1,1,0,0.03,47,177867047
0,8,1,1,1,0.03,47,168886224
0,8,1,1,2,0.03,42,164370313
0,8,1,1,3,0.03,47,162491035
0,8,1,2,0,^,^,177867047
0,8,1,2,1,^,^,168886224
0,8,1,2,2,^,^,164370313
0,8,1,2,3,^,^,162491035
0,8,2,0,0,0.03,56,177867047
0,8,2,0,1,0.04,63,168886224
0,8,2,0,2,0.03,47,164370313
0,8,2,0,3,0.03,54,162491035
0,8,2,1,0,0.03,53,177867047
0,8,2,1,1,0.04,60,168886224
0,8,2,1,2,0.03,45,164370313
0,8,2,1,3,0.03,51,162491035
0,8,2,2,0,^,^,177867047
0,8,2,2,1,^,^,168886224
0,8,2,2,2,^,^,164370313
0,8,2,2,3,^,^,162491035
0,8,3,0,0,0.04,68,177867047
0,8,3,0,1,0.03,59,168886224
0,8,3,0,2,0.03,51,164370313
0,8,3,0,3,0.04,60,162491035
0,8,3,1,0,0.03,61,177867047
0,8,3,1,1,0.03,53,168886224
0,8,3,1,2,0.03,44,164370313
0,8,3,1,3,0.03,52,162491035
0,8,3,2,0,^,^,177867047
0,8,3,2,1,^,^,168886224
0,8,3,2,2,^,^,164370313
0,8,3,2,3,^,^,162491035
0,9,0,0,0,0.57,166,28893729
0,9,0,0,1,0.72,185,25558135
0,9,0,0,2,0.66,151,22728507
0,9,0,0,3,0.72,145,20043109
0,9,0,1,0,0.52,151,28893729
0,9,0,1,1,0.69,176,25558135
0,9,0,1,2,0.62,142,22728507
0,9,0,1,3,0.64,129,20043109
0,9,0,2,0,^,^,28893729
0,9,0,2,1,^,^,25558135
0,9,0,2,2,^,^,22728507
0,9,0,2,3,^,^,20043109
0,9,1,0,0,0.18,53,28893729
0,9,1,0,1,0.18,46,25558135
0,9,1,0,2,0.19,43,22728507
0,9,1,0,3,0.22,45,20043109
0,9,1,1,0,0.17,49,28893729
0,9,1,1,1,0.18,46,25558135
0,9,1,1,2,0.18,41,22728507
0,9,1,1,3,0.20,40,20043109
0,9,1,2,0,^,^,28893729
0,9,1,2,1,^,^,25558135
0,9,1,2,2,^,^,22728507
0,9,1,2,3,^,^,20043109
0,9,2,0,0,0.16,47,28893729
0,9,2,0,1,0.30,76,25558135
0,9,2,0,2,0.30,68,22728507
0,9,2,0,3,0.28,57,20043109
0,9,2,1,0,0.15,44,28893729
0,9,2,1,1,0.29,73,25558135
0,9,2,1,2,0.28,64,22728507
0,9,2,1,3,0.26,53,20043109
0,9,2,2,0,^,^,28893729
0,9,2,2,1,^,^,25558135
0,9,2,2,2,^,^,22728507
0,9,2,2,3,^,^,20043109
0,9,3,0,0,0.23,66,28893729
0,9,3,0,1,0.25,63,25558135
0,9,3,0,2,0.18,40,22728507
0,9,3,0,3,0.21,43,20043109
0,9,3,1,0,0.20,58,28893729
0,9,3,1,1,0.22,57,25558135
0,9,3,1,2,0.16,37,22728507
0,9,3,1,3,0.18,36,20043109
0,9,3,2,0,^,^,28893729
0,9,3,2,1,^,^,25558135
0,9,3,2,2,^,^,22728507
0,9,3,2,3,^,^,20043109
0,10,0,0,0,1.11,308,27741239
0,10,0,0,1,1.22,344,28102343
0,10,0,0,2,1.21,303,25029048
0,10,0,0,3,1.10,246,22315937
0,10,0,1,0,1.01,279,27741239
0,10,0,1,1,1.13,318,28102343
0,10,0,1,2,1.12,280,25029048
0,10,0,1,3,1.00,223,22315937
0,10,0,2,0,^,^,27741239
0,10,0,2,1,^,^,28102343
0,10,0,2,2,^,^,25029048
0,10,0,2,3,0.06,14,22315937
0,10,1,0,0,0.33,92,27741239
0,10,1,0,1,0.37,103,28102343
0,10,1,0,2,0.35,88,25029048
0,10,1,0,3,0.35,77,22315937
0,10,1,1,0,0.31,86,27741239
0,10,1,1,1,0.35,99,28102343
0,10,1,1,2,0.34,85,25029048
0,10,1,1,3,0.32,72,22315937
0,10,1,2,0,^,^,27741239
0,10,1,2,1,^,^,28102343
0,10,1,2,2,^,^,25029048
0,10,1,2,3,^,^,22315937
0,10,2,0,0,0.39,107,27741239
0,10,2,0,1,0.45,127,28102343
0,10,2,0,2,0.45,113,25029048
0,10,2,0,3,0.42,93,22315937
0,10,2,1,0,0.36,100,27741239
0,10,2,1,1,0.42,117,28102343
0,10,2,1,2,0.42,105,25029048
0,10,2,1,3,0.39,86,22315937
0,10,2,2,0,^,^,27741239
0,10,2,2,1,^,^,28102343
0,10,2,2,2,^,^,25029048
0,10,2,2,3,^,^,22315937
0,10,3,0,0,0.39,109,27741239
0,10,3,0,1,0.41,114,28102343
0,10,3,0,2,0.41,102,25029048
0,10,3,0,3,0.34,76,22315937
0,10,3,1,0,0.34,93,27741239
0,10,3,1,1,0.36,102,28102343
0,10,3,1,2,0.36,90,25029048
0,10,3,1,3,0.29,65,22315937
0,10,3,2,0,^,^,27741239
0,10,3,2,1,^,^,28102343
0,10,3,2,2,^,^,25029048
0,10,3,2,3,^,^,22315937
0,11,0,0,0,2.00,507,25363466
0,11,0,0,1,2.32,627,27012913
0,11,0,0,2,2.12,582,27517226
0,11,0,0,3,1.76,428,24336289
0,11,0,1,0,1.83,463,25363466
0,11,0,1,1,2.11,569,27012913
0,11,0,1,2,1.88,517,27517226
0,11,0,1,3,1.62,395,24336289
0,11,0,2,0,^,^,25363466
0,11,0,2,1,0.06,16,27012913
0,11,0,2,2,0.04,11,27517226
0,11,0,2,3,^,^,24336289
0,11,1,0,0,0.60,152,25363466
0,11,1,0,1,0.74,200,27012913
0,11,1,0,2,0.71,196,27517226
0,11,1,0,3,0.59,143,24336289
0,11,1,1,0,0.56,142,25363466
0,11,1,1,1,0.70,188,27012913
0,11,1,1,2,0.67,184,27517226
0,11,1,1,3,0.55,134,24336289
0,11,1,2,0,^,^,25363466
0,11,1,2,1,^,^,27012913
0,11,1,2,2,^,^,27517226
0,11,1,2,3,^,^,24336289
0,11,2,0,0,0.75,189,25363466
0,11,2,0,1,0.86,232,27012913
0,11,2,0,2,0.71,194,27517226
0,11,2,0,3,0.61,149,24336289
0,11,2,1,0,0.70,178,25363466
0,11,2,1,1,0.80,217,27012913
0,11,2,1,2,0.66,182,27517226
0,11,2,1,3,0.59,143,24336289
0,11,2,2,0,^,^,25363466
0,11,2,2,1,^,^,27012913
0,11,2,2,2,^,^,27517226
0,11,2,2,3,^,^,24336289
0,11,3,0,0,0.65,166,25363466
0,11,3,0,1,0.72,195,27012913
0,11,3,0,2,0.70,192,27517226
0,11,3,0,3,0.56,136,24336289
0,11,3,1,0,0.56,143,25363466
0,11,3,1,1,0.61,164,27012913
0,11,3,1,2,0.55,151,27517226
0,11,3,1,3,0.48,118,24336289
0,11,3,2,0,^,^,25363466
0,11,3,2,1,^,^,27012913
0,11,3,2,2,^,^,27517226
0,11,3,2,3,^,^,24336289
0,12,0,0,0,2.93,611,20840245
0,12,0,0,1,3.10,757,24393392
0,12,0,0,2,2.92,766,26193251
0,12,0,0,3,2.66,701,26386597
0,12,0,1,0,2.62,547,20840245
0,12,0,1,1,2.82,688,24393392
0,12,0,1,2,2.63,690,26193251
0,12,0,1,3,2.36,624,26386597
0,12,0,2,0,^,^,20840245
0,12,0,2,1,0.04,10,24393392
0,12,0,2,2,0.07,18,26193251
0,12,0,2,3,0.09,25,26386597
0,12,1,0,0,0.94,196,20840245
0,12,1,0,1,1.02,250,24393392
0,12,1,0,2,1.06,277,26193251
0,12,1,0,3,0.88,231,26386597
0,12,1,1,0,0.85,178,20840245
0,12,1,1,1,0.93,228,24393392
0,12,1,1,2,0.97,254,26193251
0,12,1,1,3,0.79,208,26386597
0,12,1,2,0,^,^,20840245
0,12,1,2,1,^,^,24393392
0,12,1,2,2,^,^,26193251
0,12,1,2,3,^,^,26386597
0,12,2,0,0,0.95,199,20840245
0,12,2,0,1,1.25,304,24393392
0,12,2,0,2,1.06,277,26193251
0,12,2,0,3,0.95,251,26386597
0,12,2,1,0,0.91,190,20840245
0,12,2,1,1,1.20,293,24393392
0,12,2,1,2,0.99,259,26193251
0,12,2,1,3,0.88,231,26386597
0,12,2,2,0,^,^,20840245
0,12,2,2,1,^,^,24393392
0,12,2,2,2,^,^,26193251
0,12,2,2,3,0.04,10,26386597
0,12,3,0,0,1.04,216,20840245
0,12,3,0,1,0.83,203,24393392
0,12,3,0,2,0.81,212,26193251
0,12,3,0,3,0.83,219,26386597
0,12,3,1,0,0.86,179,20840245
0,12,3,1,1,0.68,167,24393392
0,12,3,1,2,0.68,177,26193251
0,12,3,1,3,0.70,185,26386597
0,12,3,2,0,^,^,20840245
0,12,3,2,1,^,^,24393392
0,12,3,2,2,^,^,26193251
0,12,3,2,3,^,^,26386597
0,13,0,0,0,5.48,875,15960418
0,13,0,0,1,4.98,978,19655534
0,13,0,0,2,4.37,1014,23200142
0,13,0,0,3,3.82,942,24670625
0,13,0,1,0,4.91,784,15960418
0,13,0,1,1,4.51,886,19655534
0,13,0,1,2,3.92,910,23200142
0,13,0,1,3,3.36,828,24670625
0,13,0,2,0,0.07,11,15960418
0,13,0,2,1,0.07,13,19655534
0,13,0,2,2,0.12,27,23200142
0,13,0,2,3,0.12,30,24670625
0,13,1,0,0,1.55,248,15960418
0,13,1,0,1,1.53,301,19655534
0,13,1,0,2,1.56,363,23200142
0,13,1,0,3,1.35,333,24670625
0,13,1,1,0,1.47,234,15960418
0,13,1,1,1,1.42,279,19655534
0,13,1,1,2,1.47,341,23200142
0,13,1,1,3,1.25,309,24670625
0,13,1,2,0,^,^,15960418
0,13,1,2,1,^,^,19655534
0,13,1,2,2,^,^,23200142
0,13,1,2,3,^,^,24670625
0,13,2,0,0,2.11,336,15960418
0,13,2,0,1,2.12,417,19655534
0,13,2,0,2,1.44,335,23200142
0,13,2,0,3,1.31,322,24670625
0,13,2,1,0,1.96,313,15960418
0,13,2,1,1,1.96,386,19655534
0,13,2,1,2,1.37,317,23200142
0,13,2,1,3,1.18,292,24670625
0,13,2,2,0,^,^,15960418
0,13,2,2,1,^,^,19655534
0,13,2,2,2,0.05,12,23200142
0,13,2,2,3,0.05,12,24670625
0,13,3,0,0,1.82,291,15960418
0,13,3,0,1,1.32,260,19655534
0,13,3,0,2,1.36,316,23200142
0,13,3,0,3,1.16,287,24670625
0,13,3,1,0,1.48,237,15960418
0,13,3,1,1,1.12,221,19655534
0,13,3,1,2,1.09,252,23200142
0,13,3,1,3,0.92,227,24670625
0,13,3,2,0,^,^,15960418
0,13,3,2,1,^,^,19655534
0,13,3,2,2,0.05,12,23200142
0,13,3,2,3,^,^,24670625
0,14,0,0,0,7.24,958,13239660
0,14,0,0,1,7.97,1175,14739925
0,14,0,0,2,6.09,1117,18344650
0,14,0,0,3,5.63,1204,21380643
0,14,0,1,0,6.40,847,13239660
0,14,0,1,1,7.19,1060,14739925
0,14,0,1,2,5.45,1000,18344650
0,14,0,1,3,4.99,1067,21380643
0,14,0,2,0,0.13,17,13239660
0,14,0,2,1,0.14,20,14739925
0,14,0,2,2,0.14,25,18344650
0,14,0,2,3,0.15,33,21380643
0,14,1,0,0,1.88,249,13239660
0,14,1,0,1,2.28,336,14739925
0,14,1,0,2,1.85,340,18344650
0,14,1,0,3,1.92,411,21380643
0,14,1,1,0,1.69,224,13239660
0,14,1,1,1,2.12,312,14739925
0,14,1,1,2,1.74,320,18344650
0,14,1,1,3,1.78,381,21380643
0,14,1,2,0,^,^,13239660
0,14,1,2,1,^,^,14739925
0,14,1,2,2,^,^,18344650
0,14,1,2,3,^,^,21380643
0,14,2,0,0,2.94,389,13239660
0,14,2,0,1,3.30,486,14739925
0,14,2,0,2,2.31,424,18344650
0,14,2,0,3,2.06,441,21380643
0,14,2,1,0,2.75,364,13239660
0,14,2,1,1,3.06,451,14739925
0,14,2,1,2,2.13,390,18344650
0,14,2,1,3,1.91,409,21380643
0,14,2,2,0,^,^,13239660
0,14,2,2,1,0.07,11,14739925
0,14,2,2,2,^,^,18344650
0,14,2,2,3,0.07,14,21380643
0,14,3,0,0,2.42,320,13239660
0,14,3,0,1,2.39,353,14739925
0,14,3,0,2,1.92,353,18344650
0,14,3,0,3,1.65,352,21380643
0,14,3,1,0,1.96,259,13239660
0,14,3,1,1,2.01,297,14739925
0,14,3,1,2,1.58,290,18344650
0,14,3,1,3,1.30,277,21380643
0,14,3,2,0,^,^,13239660
0,14,3,2,1,^,^,14739925
0,14,3,2,2,0.05,10,18344650
0,14,3,2,3,0.06,12,21380643
0,15,0,0,0,11.81,1444,12229562
0,15,0,0,1,11.64,1372,11788264
0,15,0,0,2,9.13,1212,13278328
0,15,0,0,3,7.81,1289,16509970
