"IM Race-Ethnicity no Unknown","IM Modelling Subsite","18_Age Categories for NordPred","IM Histology with All","Incidence 5-year LATEST","Crude Rate","Count","Population"
0,2,3,0,1,0.01,3,26851415
0,2,3,0,2,0.00,1,24897293
0,2,3,0,3,0.01,3,23503987
0,2,3,1,0,0.01,2,26914884
0,2,3,1,1,0.01,3,26851415
0,2,3,1,2,0.00,1,24897293
0,2,3,1,3,0.01,3,23503987
0,2,3,2,0,0.00,0,26914884
0,2,3,2,1,0.00,0,26851415
0,2,3,2,2,0.00,0,24897293
0,2,3,2,3,0.00,0,23503987
0,2,4,0,0,0.02,6,25615270
0,2,4,0,1,0.05,12,26177679
0,2,4,0,2,0.06,17,26456421
0,2,4,0,3,0.06,15,24973279
0,2,4,1,0,0.02,6,25615270
0,2,4,1,1,0.03,9,26177679
0,2,4,1,2,0.06,17,26456421
0,2,4,1,3,0.05,13,24973279
0,2,4,2,0,0.00,0,25615270
0,2,4,2,1,0.01,2,26177679
0,2,4,2,2,0.00,0,26456421
0,2,4,2,3,0.00,0,24973279
0,2,5,0,0,0.06,14,24526441
0,2,5,0,1,0.08,20,25559243
0,2,5,0,2,0.08,22,26650861
0,2,5,0,3,0.09,24,27192489
0,2,5,1,0,0.05,12,24526441
0,2,5,1,1,0.07,17,25559243
0,2,5,1,2,0.08,22,26650861
0,2,5,1,3,0.09,24,27192489
0,2,5,2,0,0.00,0,24526441
0,2,5,2,1,0.01,2,25559243
0,2,5,2,2,0.00,0,26650861
0,2,5,2,3,0.00,0,27192489
0,2,6,0,0,0.22,63,28159352
0,2,6,0,1,0.20,49,24272191
0,2,6,0,2,0.23,60,25604917
0,2,6,0,3,0.19,51,26540051
0,2,6,1,0,0.20,56,28159352
0,2,6,1,1,0.19,46,24272191
0,2,6,1,2,0.20,52,25604917
0,2,6,1,3,0.18,47,26540051
0,2,6,2,0,0.01,3,28159352
0,2,6,2,1,0.01,2,24272191
0,2,6,2,2,0.02,5,25604917
0,2,6,2,3,0.00,1,26540051
0,2,7,0,0,0.43,136,31508574
0,2,7,0,1,0.35,96,27580140
0,2,7,0,2,0.38,91,24139311
0,2,7,0,3,0.43,109,25255508
0,2,7,1,0,0.39,122,31508574
0,2,7,1,1,0.30,84,27580140
0,2,7,1,2,0.34,83,24139311
0,2,7,1,3,0.40,101,25255508
0,2,7,2,0,0.02,7,31508574
0,2,7,2,1,0.01,4,27580140
0,2,7,2,2,0.02,6,24139311
0,2,7,2,3,0.02,6,25255508
0,2,8,0,0,0.10,221,213124605
0,2,8,0,1,0.09,180,201654992
0,2,8,0,2,0.10,191,195671485
0,2,8,0,3,0.10,202,192471735
0,2,8,1,0,0.09,198,213124605
0,2,8,1,1,0.08,159,201654992
0,2,8,1,2,0.09,175,195671485
0,2,8,1,3,0.10,188,192471735
0,2,8,2,0,0.00,10,213124605
0,2,8,2,1,0.00,10,201654992
0,2,8,2,2,0.01,11,195671485
0,2,8,2,3,0.00,7,192471735
0,2,9,0,0,0.78,269,34642018
0,2,9,0,1,0.71,219,30651071
0,2,9,0,2,0.73,199,27116193
0,2,9,0,3,0.74,177,23762893
0,2,9,1,0,0.68,235,34642018
0,2,9,1,1,0.68,209,30651071
0,2,9,1,2,0.62,169,27116193
0,2,9,1,3,0.67,160,23762893
0,2,9,2,0,0.03,9,34642018
0,2,9,2,1,0.01,4,30651071
0,2,9,2,2,0.08,21,27116193
0,2,9,2,3,0.04,9,23762893
0,2,10,0,0,1.65,547,33175804
0,2,10,0,1,1.46,490,33647325
0,2,10,0,2,1.61,482,30005868
0,2,10,0,3,1.48,394,26561222
0,2,10,1,0,1.50,497,33175804
0,2,10,1,1,1.33,449,33647325
0,2,10,1,2,1.49,446,30005868
0,2,10,1,3,1.35,358,26561222
0,2,10,2,0,0.04,14,33175804
0,2,10,2,1,0.06,19,33647325
0,2,10,2,2,0.05,14,30005868
0,2,10,2,3,0.06,16,26561222
0,2,11,0,0,2.67,809,30251266
0,2,11,0,1,2.64,851,32244708
0,2,11,0,2,2.67,878,32914756
0,2,11,0,3,2.59,755,29113614
0,2,11,1,0,2.44,738,30251266
0,2,11,1,1,2.41,778,32244708
0,2,11,1,2,2.49,819,32914756
0,2,11,1,3,2.32,674,29113614
0,2,11,2,0,0.07,21,30251266
0,2,11,2,1,0.07,24,32244708
0,2,11,2,2,0.07,23,32914756
0,2,11,2,3,0.12,36,29113614
0,2,12,0,0,4.40,1090,24791905
0,2,12,0,1,4.05,1174,29023222
0,2,12,0,2,4.42,1382,31232970
0,2,12,0,3,4.40,1385,31501209
0,2,12,1,0,4.00,992,24791905
0,2,12,1,1,3.69,1070,29023222
0,2,12,1,2,4.02,1255,31232970
0,2,12,1,3,3.96,1248,31501209
0,2,12,2,0,0.09,22,24791905
0,2,12,2,1,0.11,31,29023222
0,2,12,2,2,0.11,35,31232970
0,2,12,2,3,0.18,56,31501209
0,2,13,0,0,6.76,1285,19002254
0,2,13,0,1,6.45,1504,23303586
0,2,13,0,2,6.79,1871,27555526
0,2,13,0,3,6.32,1855,29354793
0,2,13,1,0,6.23,1183,19002254
0,2,13,1,1,5.93,1381,23303586
0,2,13,1,2,6.27,1729,27555526
0,2,13,1,3,5.78,1696,29354793
0,2,13,2,0,0.10,19,19002254
0,2,13,2,1,0.18,41,23303586
0,2,13,2,2,0.17,48,27555526
0,2,13,2,3,0.20,59,29354793
0,2,14,0,0,9.10,1435,15772351
0,2,14,0,1,8.81,1540,17471220
0,2,14,0,2,9.42,2044,21692248
0,2,14,0,3,8.86,2245,25326497
0,2,14,1,0,8.25,1302,15772351
0,2,14,1,1,8.14,1422,17471220
0,2,14,1,2,8.72,1891,21692248
0,2,14,1,3,8.08,2046,25326497
0,2,14,2,0,0.16,26,15772351
0,2,14,2,1,0.18,31,17471220
0,2,14,2,2,0.30,64,21692248
0,2,14,2,3,0.33,83,25326497
0,2,15,0,0,10.74,1573,14644432
0,2,15,0,1,11.23,1572,14003345
0,2,15,0,2,12.48,1961,15715921
0,2,15,0,3,11.73,2285,19477420
0,2,15,1,0,9.68,1417,14644432
0,2,15,1,1,10.38,1454,14003345
0,2,15,1,2,11.28,1773,15715921
0,2,15,1,3,10.69,2083,19477420
0,2,15,2,0,0.20,30,14644432
0,2,15,2,1,0.22,31,14003345
0,2,15,2,2,0.39,62,15715921
0,2,15,2,3,0.37,73,19477420
0,2,16,0,0,12.21,1593,13046361
0,2,16,0,1,12.88,1581,12273350
0,2,16,0,2,13.57,1622,11951978
0,2,16,0,3,13.14,1776,13515338
