"IM Race-Ethnicity no Unknown","18_Age Categories for NordPred","IM Subsite","IM Histology with All","IM 5-year LATEST","Age-Adjusted Rate","Count","Population"
0,9,2,3,3,0.00,16,346452871
0,9,3,0,0,0.02,72,347688122
0,9,3,0,1,0.03,91,346283967
0,9,3,0,2,0.02,57,347280455
0,9,3,0,3,0.02,54,346452871
0,9,3,1,0,0.02,85,347688122
0,9,3,1,1,0.03,103,346283967
0,9,3,1,2,0.02,67,347280455
0,9,3,1,3,0.02,61,346452871
0,9,3,2,0,0.02,71,347688122
0,9,3,2,1,0.02,81,346283967
0,9,3,2,2,0.02,51,347280455
0,9,3,2,3,0.02,46,346452871
0,9,3,3,0,^,^,347688122
0,9,3,3,1,0.00,10,346283967
0,9,3,3,2,^,^,347280455
0,9,3,3,3,^,^,346452871
0,10,0,0,0,0.13,509,347688122
0,10,0,0,1,0.16,653,346283967
0,10,0,0,2,0.16,586,347280455
0,10,0,0,3,0.16,554,346452871
0,10,0,1,0,0.14,546,347688122
0,10,0,1,1,0.17,697,346283967
0,10,0,1,2,0.17,627,347280455
0,10,0,1,3,0.17,592,346452871
0,10,0,2,0,0.12,484,347688122
0,10,0,2,1,0.15,611,346283967
0,10,0,2,2,0.15,550,347280455
0,10,0,2,3,0.14,494,346452871
0,10,0,3,0,0.01,25,347688122
0,10,0,3,1,0.01,42,346283967
0,10,0,3,2,0.01,36,347280455
0,10,0,3,3,0.01,60,346452871
0,10,1,0,0,0.06,248,347688122
0,10,1,0,1,0.08,310,346283967
0,10,1,0,2,0.08,291,347280455
0,10,1,0,3,0.08,274,346452871
0,10,1,1,0,0.07,259,347688122
0,10,1,1,1,0.08,332,346283967
0,10,1,1,2,0.08,307,347280455
0,10,1,1,3,0.08,288,346452871
0,10,1,2,0,0.06,242,347688122
0,10,1,2,1,0.07,301,346283967
0,10,1,2,2,0.08,288,347280455
0,10,1,2,3,0.08,266,346452871
0,10,1,3,0,^,^,347688122
0,10,1,3,1,^,^,346283967
0,10,1,3,2,^,^,347280455
0,10,1,3,3,^,^,346452871
0,10,2,0,0,0.03,121,347688122
0,10,2,0,1,0.04,170,346283967
0,10,2,0,2,0.04,163,347280455
0,10,2,0,3,0.04,158,346452871
0,10,2,1,0,0.03,126,347688122
0,10,2,1,1,0.04,176,346283967
0,10,2,1,2,0.04,168,347280455
0,10,2,1,3,0.04,161,346452871
0,10,2,2,0,0.03,112,347688122
0,10,2,2,1,0.04,153,346283967
0,10,2,2,2,0.04,146,347280455
0,10,2,2,3,0.04,130,346452871
0,10,2,3,0,^,^,347688122
0,10,2,3,1,0.00,17,346283967
0,10,2,3,2,0.00,17,347280455
0,10,2,3,3,0.01,28,346452871
0,10,3,0,0,0.04,140,347688122
0,10,3,0,1,0.04,173,346283967
0,10,3,0,2,0.04,132,347280455
0,10,3,0,3,0.04,122,346452871
0,10,3,1,0,0.04,161,347688122
0,10,3,1,1,0.05,189,346283967
0,10,3,1,2,0.04,152,347280455
0,10,3,1,3,0.04,143,346452871
0,10,3,2,0,0.03,130,347688122
0,10,3,2,1,0.04,157,346283967
0,10,3,2,2,0.03,116,347280455
0,10,3,2,3,0.03,98,346452871
0,10,3,3,0,0.00,10,347688122
0,10,3,3,1,0.00,16,346283967
0,10,3,3,2,0.00,16,347280455
0,10,3,3,3,0.01,24,346452871
0,11,0,0,0,0.20,805,347688122
0,11,0,0,1,0.23,1046,346283967
0,11,0,0,2,0.24,1132,347280455
0,11,0,0,3,0.22,996,346452871
0,11,0,1,0,0.21,875,347688122
0,11,0,1,1,0.25,1130,346283967
0,11,0,1,2,0.26,1239,347280455
0,11,0,1,3,0.24,1065,346452871
0,11,0,2,0,0.19,785,347688122
0,11,0,2,1,0.22,990,346283967
0,11,0,2,2,0.23,1058,347280455
0,11,0,2,3,0.21,905,346452871
0,11,0,3,0,0.00,20,347688122
0,11,0,3,1,0.01,56,346283967
0,11,0,3,2,0.01,74,347280455
